Standard Deviation: 825.9972177742732
Skewness: -3.604841065251234
Kurtosis: 15.498897943510016
Median: 29029.39006775622
Mean: 28730.142432404366
Deciles: [28680.73762616 29120.5253887 ]
Minimum: 22734.529973583118
Maximum: 29904.342842445865
Bin Edges: [22734.52997358 22806.22810227 22877.92623096 22949.62435965
 23021.32248834 23093.02061703 23164.71874571 23236.4168744
 23308.11500309 23379.81313178 23451.51126047 23523.20938916
 23594.90751785 23666.60564654 23738.30377522 23810.00190391
 23881.7000326  23953.39816129 24025.09628998 24096.79441867
 24168.49254736 24240.19067604 24311.88880473 24383.58693342
 24455.28506211 24526.9831908  24598.68131949 24670.37944818
 24742.07757686 24813.77570555 24885.47383424 24957.17196293
 25028.87009162 25100.56822031 25172.266349   25243.96447769
 25315.66260637 25387.36073506 25459.05886375 25530.75699244
 25602.45512113 25674.15324982 25745.85137851 25817.54950719
 25889.24763588 25960.94576457 26032.64389326 26104.34202195
 26176.04015064 26247.73827933 26319.43640801 26391.1345367
 26462.83266539 26534.53079408 26606.22892277 26677.92705146
 26749.62518015 26821.32330883 26893.02143752 26964.71956621
 27036.4176949  27108.11582359 27179.81395228 27251.51208097
 27323.21020966 27394.90833834 27466.60646703 27538.30459572
 27610.00272441 27681.7008531  27753.39898179 27825.09711048
 27896.79523916 27968.49336785 28040.19149654 28111.88962523
 28183.58775392 28255.28588261 28326.9840113  28398.68213998
 28470.38026867 28542.07839736 28613.77652605 28685.47465474
 28757.17278343 28828.87091212 28900.56904081 28972.26716949
 29043.96529818 29115.66342687 29187.36155556 29259.05968425
 29330.75781294 29402.45594163 29474.15407031 29545.852199
 29617.55032769 29689.24845638 29760.94658507 29832.64471376
 29904.34284245]
Frequencies: [3.24700000e+03 3.43760000e+04 2.14012000e+05 6.12063000e+05
 1.43533000e+06 2.30397700e+06 1.80202800e+06 1.15344100e+06
 7.14157000e+05 1.20462700e+06 1.22384100e+06 1.33601200e+06
 1.95257500e+06 2.31425600e+06 2.51995500e+06 2.48773000e+06
 2.11066500e+06 2.18244900e+06 2.48702500e+06 2.45461800e+06
 2.42623300e+06 3.17838500e+06 3.45430700e+06 3.28083100e+06
 3.14557500e+06 3.40240600e+06 2.82764100e+06 2.90280500e+06
 3.03415800e+06 3.03348500e+06 3.40175200e+06 3.36264500e+06
 2.61021600e+06 2.75447400e+06 2.95381700e+06 3.15654500e+06
 2.69484200e+06 2.25256500e+06 2.54093100e+06 2.69121500e+06
 2.64542100e+06 3.26721500e+06 3.11846400e+06 3.65982400e+06
 3.32332400e+06 2.83760300e+06 3.36972300e+06 3.89896600e+06
 4.07788300e+06 3.97736000e+06 4.66625500e+06 4.96991700e+06
 5.92658300e+06 6.74985100e+06 6.67534600e+06 7.58851900e+06
 7.57407800e+06 7.66260500e+06 8.11978200e+06 9.62523200e+06
 1.14691460e+07 1.23376660e+07 1.39266280e+07 1.63872500e+07
 1.89315660e+07 1.86620140e+07 1.91329730e+07 1.97260660e+07
 2.07127900e+07 2.09699570e+07 2.13203200e+07 2.08863200e+07
 2.26446040e+07 2.73754200e+07 3.06533520e+07 3.66760640e+07
 4.54878420e+07 5.31497890e+07 6.70524880e+07 8.21708750e+07
 9.96509420e+07 1.25561581e+08 1.47194028e+08 1.61996781e+08
 1.79611193e+08 2.07210758e+08 2.53269380e+08 4.68669780e+08
 9.36710193e+08 6.26285215e+08 3.58802163e+08 1.50625148e+08
 4.19595740e+07 8.46057100e+06 1.66038400e+06 3.41380000e+05
 8.73270000e+04 2.18880000e+04 5.56100000e+03 1.86000000e+03]
